M1  , 0, CDS, 083.633, +22.014,   7.0,   5.0,    ~, SNR, M   1, , , NGC  1952,,, 
M2  , 0, CDS, 323.363, -00.823,   1.9,   1.9,    0, GlCl, M   2, , , NGC  7089,,, 
M3  , 0, CDS, 205.548, +28.377,   2.2,   2.2,    0, GlCl, M   3, , , NGC  5272,,Cl Melotte    3, 
M4  , 0, CDS, 245.897, -26.526,   7.3,   7.3,    0, GlCl, M   4, , , NGC  6121,,, 
M5  , 0, CDS, 229.638, +02.081,   4.2,   4.2,    0, GlCl, M   5, , , NGC  5904,,, 
M6  , 0, CDS, 265.069, -32.242,  20.0,  20.0,   90, OpCl, M   6, , , NGC  6405,,, 
M7  , 0, CDS, 268.447, -34.841, 100.1, 100.1,    0, OpCl, M   7, , , NGC  6475,,, 
M8  , 0, CDS, 270.904, -24.387,     ~,     ~,    ~, HII, M   8, , , ,,, 
M9  , 0, CDS, 259.799, -18.516,   8.7,   8.7,    0, GlCl, M   9, , , NGC  6333,,, 
M10 , 0, CDS, 254.288, -04.100,   3.6,   3.6,    0, GlCl, M  10, , , NGC  6254,,, 
M11 , 0, CDS, 282.766, -06.272,   8.9,   8.9,    0, OpCl, M  11, , , NGC  6705,,Cl Melotte  213, Cl Collinder  391
M12 , 0, CDS, 251.809, -01.949,   4.3,   4.3,    0, GlCl, M  12, , , NGC  6218,,, 
M13 , 0, CDS, 250.423, +36.461,  33.0,  33.0,    0, GlCl, M  13, , , NGC  6205,,, 
M14 , 0, CDS, 264.401, -03.246,  13.5,  13.5,    0, GlCl, M  14, , , NGC  6402,,, 
M15 , 0, CDS, 322.493, +12.167,  22.2,  22.2,    0, GlCl, M  15, , , NGC  7078,,, 
M16 , 0, CDS, 274.688, -13.792,   5.1,   5.1,   90, OpCl, M  16, , , NGC  6611,IC 4703,, 
M17 , 0, CDS, 275.196, -16.172,   1.6,   1.6,   90, OpCl, M  17, , , NGC  6618,,, 
M18 , 0, CDS, 274.989, -17.089,   5.0,   5.0,   90, OpCl, M  18, , , NGC  6613,,, 
M19 , 0, CDS, 255.657, -26.268,   9.6,   9.6,    0, GlCl, M  19, , , NGC  6273,,, 
M20 , 0, CDS, 270.675, -22.972,  28.0,  28.0,   90, OpCl, M  20, , , NGC  6514,,, Cl Collinder  360
M21 , 0, CDS, 271.036, -22.505,  14.0,  14.0,   90, OpCl, M  21, , , NGC  6531,,, 
M22 , 0, CDS, 279.100, -23.905,   6.5,   6.5,    0, GlCl, M  22, , , NGC  6656,,, 
M23 , 0, CDS, 269.237, -18.987,  35.0,  35.0,    0, OpCl, M  23, , , NGC  6494,,, 
M24 , 0, CDS, 274.20 , -18.55 , 120  ,  60  ,   90, Assoc*, M  24, , , ,IC 4715,, 
M25 , 0, CDS, 277.937, -19.114,  31.3,  31.3,    0, OpCl, M  25, , , ,IC 4725,, 
M26 , 0, CDS, 281.317, -09.386,   7.1,   7.1,    0, OpCl, M  26, , , NGC  6694,,, 
M27 , 0, CDS, 299.902, +22.721,   0.1,   0.1,   90, PN, M  27, , , NGC  6853,,, 
M28 , 0, CDS, 276.137, -24.870,   3.1,   3.1,    0, GlCl, M  28, , , NGC  6626,,, 
M29 , 0, CDS, 305.943, +38.487,  12.7,  12.7,    0, OpCl, M  29, , , NGC  6913,,, 
