NGC 129, 0, CDS, 007.607, +60.213,  20.3,  20.3,    0, OpCl, ,   129,,, 
M32 , 0, CDS, 010.674, +40.865,     ~,     ~,    ~, IG,  32,   221,,, 
M31 , 0, CDS, 010.685, +41.269, 199.5,  70.8,   35, Galaxy,  31,   224,,, 
NGC 457, 0, CDS, 019.887, +58.278,  15.0,  15.0,    0, OpCl, ,   457,,, 
NGC 663, 0, CDS, 026.586, +61.212,  18.0,  18.0,    0, OpCl, ,   663,,, 
Cl Collinder 463, 0, CDS, 027.031, +71.738,  73.0,  73.0,    0, OpCl, , ,,,  463
NGC 752, 0, CDS, 029.223, +37.794,  58.2,  58.2,    0, OpCl, ,   752,,   12, 
Stock 2, 0, CDS, 033.856, +59.522, 123.6, 123.6,    0, OpCl, , ,,, 
NGC 869, 0, CDS, 034.741, +57.134,  16.3,  16.3,    0, OpCl, ,   869,,   13,   24
NGC 884, 0, CDS, 035.584, +57.149,  15.0,  15.0,    0, OpCl, ,   884,,   14,   25
Tr 2, 0, CDS, 039.232, +55.905,  38.8,  38.8,    0, OpCl, , ,,, 
M77 , 0, CDS, 040.670, -00.013,   6.9,   6.0,   72, GinPair,  77,  1068,,, 
Tr 3, 0, CDS, 048.004, +63.218,  33.1,  33.1,    0, OpCl, , ,,, 
Stock 23, 0, CDS, 049.075, +60.377,  90.5,  90.5,    0, OpCl, , ,,, 
Mel 20, 0, CDS, 051.617, +48.975, 243.2, 243.2,    0, OpCl, , ,,   20,   39
NGC 1342, 0, CDS, 052.894, +37.380,  34.7,  34.7,    0, OpCl, ,  1342,,, 
M45 , 0, CDS, 056.601, +24.114, 1200  , 1200  ,   90, OpCl,  45, ,,   22, 
Mel 25, 0, CDS, 066.725, +15.867,     ~,     ~,    ~, OpCl, , ,,   25,   50
NGC 1647, 0, CDS, 071.481, +19.079,  50.0,  50.0,    0, OpCl, ,  1647,,, 
NGC 1807, 0, CDS, 077.703, +16.522,  15.0,  15.0,    0, OpCl, ,  1807,,   29,   61
NGC 1817, 0, CDS, 078.139, +16.696,  16.0,  16.0,    0, OpCl, ,  1817,,,   60
M38 , 0, CDS, 082.167, +35.824,  19.6,  19.6,    0, OpCl,  38,  1912,,, 
M36 , 0, CDS, 084.084, +34.135,  10.3,  10.3,    0, OpCl,  36,  1960,,, 
M42 , 0, CDS, 083.822, -05.391,   5.5,   5.5,   90, HII,  42,  1976,,, 
NGC 1981, 0, CDS, 083.787, -04.432,     ~,     ~,    ~, OpCl, ,  1981,,, 
M37 , 0, CDS, 088.074, +32.545,  19.3,  19.3,    0, OpCl,  37,  2099,,, 
M35 , 0, CDS, 092.272, +24.336,  38.3,  38.3,    0, OpCl,  35,  2168,,, 
NGC 2169, 0, CDS, 092.125, +13.951,   5.0,   5.0,    0, OpCl, ,  2169,,, 
NGC 2232, 0, CDS, 096.888, -04.749,  61.9,  61.9,    0, OpCl, ,  2232,,, 
NGC 2244, 0, CDS, 098.045, +04.914,  27.8,  27.8,    0, OpCl, ,  2244/NGC  2239,,, 
NGC 2264, 0, CDS, 100.217, +09.877,   8.6,   8.6,    0, OpCl, ,  2264,,, 
NGC 2281, 0, CDS, 102.091, +41.060,  50.0,  50.0,    0, OpCl, ,  2281,,, 
M41 , 0, CDS, 101.499, -20.716,  39.8,  39.8,    0, OpCl,  41,  2287,,, 
